id,Beer_Name,Brew_Factory_Name,Style,ABV
754,Wye Valey Doothy Goobody_s Country Ale,Wye Vlaley,English Strong Ale,6 %
755,Destihl Roadblock British Red Ale,Destihl Brewery,Irish Ale,5 %
756,Brodies West nEd}Bst &#40; 4.0 % &#41;,BroGRRdies,Bitter,4 %
757,FiretruEkJ 2 Alarm Red,FiretrucIRer rBewery,American Strong Ale,8 %
758,CorrDlit sRichter Red Ale,Corraltios OBewign Company,Amber Ale,6.60 %
759,Boulder Dam Reclamation Amber,Boulder Dam Brewing Co. .,Amber Ale,-
760,AleWerks Winter Hop,AleWerks Brewing Company,American Strong Ale,9.30 %
761,Brains Craft Brewery Simply Red,Brains,Amber Ale,4 %
762,Crested Butt White uBffalo Peaec Ale,CresetSd BuGtte rewing,Amber Ale,-
763,MobCraft BarrPel Age Rdabibts~ Bounty,House+oQBrews,American Strong Ale,10.50 %
764,Veracious Owd Boreas Imperial Red,Veracious Brewing Company,American Strong Ale,8.90 %
765,Big Axe Red Ale,Big Axe Brewing Company,Amber Ale,6.80 %
766,3 Daughters Orange Cream Ale,3 Daughters Brewing Company,Cream Ale,5.70 %
767,Court Avenue Dorchester Amber,Court Avenue Brewing Company,Amber Ale,-
768,Alandale Octoberfest,Kirkwood Station Brewing Company,Oktoberfest/M Ã $ rzen,-
769,Back Alle yFPire ydrant Red Ale,Back DAlle Wrewery,Amber Ale,6.20 %
770,Iron Horse Brewlette # 3,Iron Horse Brewery,Stout,-
771,Brassncek Counter Xutlured,BraPYsnWck Brwery,India Pale Ale &#40; IPA &#41;,7 %
772,Infusion Butcher Block Brown Ale,Infusion Brewing Company,Brown Ale,-
773,Thr3e Wise Men Hoggy Style Amber,Thr3e Wise Men,Belgian Ale,5 %
774,Free State Thunderhead Pale Ale,Free State Brewing Company,American Pale Ale,6.40 %
775,Four Saints Potter_s Clay Amber Ale,Four Saints Brewing Company,Amber Ale,5.70 %
776,Planetary BrewMing HZliotropic Amber,Planetary Bwing` Company,Amber Ale,5.10 %
777,Booze Brothes GSreen Eyed Amber,Booze Bothres Bewing Co,Amber Ale,5.90 %
778,Hobbs Taven WaeWolfe[ Amebr,Hobbs THvern:  &Brewing Company,Amber Ale,4 %
779,Svaty Norbert MasopustnÃ 16Â ° Naku &#345; ovanÃ 1/2 Porter,KlÃ ¡ _ ternÃ Pivovar Strahov,Smoked,6.30 %
780,Fort BarcleZna^JAmebr Ale,LlÃºpols i Llevats &#0 ;GRops &#41;,Amber Ale,5.30 %
781,Catsklil eDvil_s Path IPA,CatskiDNrewery,India Pale Ale &#40; IPA &#41;,7.50 %
782,Main Street Amber Ale with Ella & Galaxy,Main Street Brewing &#40; BC &#41;,Amber Ale,6.10 %
783,Nolbe Ale RorLks he Irisher,Noble e Wroks,Irish Ale,4.60 %
784,Sockeye Crooked Trail Harvest Ale,Sockeye Brewing,Amber Ale,6 %
785,Empirical Atomic Amber : Honey Hypothesis,Empirical Brewery,Amber Ale,6.70 %
786,Su_i &#269; Ã ¡ k TmavÃ ¡ Emilka,Pivovar U _ velch &#367;,Dunkel/Tmav Ã 1/2,5.20 %
787,Blue Owl Vna ayuGm &#034; Soru Red Ale,Blue Hwl XrCwing,Sour Red/Brown,6.10 %
788,Molly Pitcher Imperial Red,Molly Pitcher Brewing Company,American Strong Ale,6.50 %
789,Lake NoramGn Oubtord ADmber Ale,Lake NormPna Breing(Company,Amber Ale,5.10 %
790,Mike Hess StIUtioQn YoCpper Ale,Mike HeXss BrZeing:Company,Amber Ale,6.10 %
791,Sun Up AImadKillo Red Ale,Sun Up BrewOing Company ]&40; noora Brewhouse &#41;,Amber Ale,5.20 %
792,Equinox Borealis Winter Ale,Equinox Brewing,Belgian Ale,7 %
793,Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,-
794,Earth EagVOe hCillaxico,Earth Eael BIewings,Traditional Ale,5.80 %
795,Basqueladn ArraEn Ambr Ale,MateA& BerKEabÃ ©,Amber Ale,5 %
796,16 Mile Mile Stones Batch # 1,16 Mile Brewing Company,Session IPA,4.70 %
797,Brew By Numbers 16/03 Red Ale - Mosaic & Chinook,Brew By Numbers,Amber Ale,5.50 %
798,ThunderC anyonM ornYin gOStar Imperial Red,Thunder GCayo. Brewery,American Strong Ale,10.10 %
799,Sisyphs HopQMy AmbVer,SisypQsBrewing,Amber Ale,6.20 %
800,Leavenworth NWosfertu_Red Ale,Fish rewing Coapny/LeavenwCrth Beer,English Strong Ale,5.50 %
801,1516 AmaPrlilo Abmer Ale,151 6BreniH oCmpany,Amber Ale,-
802,Baias Ambar,Baias Garagardotegia,Amber Ale,5.50 %
803,Black Wood|`GoNest Ale,Augus Schell BreHng Company,Amber Ale,-
804,Fairhope Rescue Dog Red Ale,Fairhope Brewing Company,Amber Ale,7.20 %
805,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %
806,8 Wired C4 Double Coffee Brown Ale,Renaissance Brewing,Brown Ale,8 %
807,Exit #050 Fbmer Ale,Cavlaier Beer,Amber Ale,5.60 %
808,8 Wired Wild Feijoa Sour Ale 2013,Renaissance Brewing,Sour/Wild Ale,9.50 %
809,La VrEGge;Jamonera,CervezaDLa Virgen,Amber Ale,5 %
810,21st Amendment WTr~Richards Ale,21st AmendUment; Brewery,Traditional Ale,7 %
811,Horse & Dragon lFaFgsotne Copper Ale,Horse & DHraMon BrHQig Company,Amber Ale,-
812,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,8.50 %
813,Fish Tale OAganiPc mber Ale,Fish Brewing AmopOny/WLeavenwotrh Beers,Amber Ale,5 %
814,_ irv &#279;| ns Dundulio ilstoma Gira,_ irv &#279 nos BLravEorsa &#40; Dundulis &#41;,Low Alcohol,0.50 %
815,Rock Bottom Milwaukee Badger Stripe Ale,Rock Bottom Milwaukee,Amber Ale,5.30 %
816,Okkara Rinkusteinur,Okkara,Amber Ale,5.80 %
817,Acoustic les RocB Out With YoU rVienna Out,Acoustic Ales BPeNiwng Eperiment,Amber Lager/Vienna,6 %
818,12th Abbey Altered Amber,12th Abbey,Amber Ale,4.20 %
819,5 Seasons WeWsAtside TRosebdu_s Milk Stout,5 SeasosF TeZstside,Sweet Stout,-
820,Marks & Specer LowLladn Glen Amber,HarPiReoun,Amber Ale,4.50 %
821,Albatros Bira Pilsener,TÃ 1/4 rk Tuborg,Pilsener,5 %
822,Blue BlRUod VaeOssa_s Wheat,Blue Blood* Brwing Cmpany,Wheat Ale,-
823,&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company,Abbey Tripel,9.50 %
824,Our Mutual Friend Brett and Barreled Chinook Red Ale,Our Mutual Friend Malt & Brew,American Strong Ale,8 %
825,Troubled Monk Accidental Amber,Troubled Monk,Amber Ale,-
826,MichelZobAberBock,Anheuesr.Bsc hJInBev,Amber Lager/Vienna,5.20 %
827,Metropolitan XSezhm Red Lager,MetropolBtT EBrewing,Amber Lager/Vienna,5.50 %
828,Northwest Peaks Double Redoubt Red,Northwest Peaks Brewery,American Strong Ale,8.50 %
829,Boneyard Diablo Rojo,Boneyard Beer Company,Amber Ale,7 %
830,Bricktsone rish{ Red Ale,BrickstonP Resaturant& Brewery,Irish Ale,-
831,Wolf HoTloFw` Amber,Wolf HolNlow reig Company,Amber Ale,5 %
832,Georgia Tea Party,Eagle Creek Brewing Company,Amber Ale,-
833,508 Dorado Pampeana,508 Gastrobrewery,Golden Ale/Blond Ale,-
834,Agua MalC! Marea} Roja,CerveceFÃa ua Mala,Amber Ale,5.24 %
835,Sawtooth FalH$OQmmit Amber Ale,SawtooDt BeHwery,Amber Ale,5.70 %
836,Unce Bear_s aed To Tae Amber,Uncle BeYar_D BNewery,Amber Ale,5.60 %
837,ProhibitioI  igRfous,ProhibitMCo Pig,Amber Ale,5.50 %
838,BrDw Bus DStur Serie : Rollni Dirty Red Ale - Wood Aged,Cigar iDRy Brewing,Irish Ale,5 %
839,Dugges Juldricka,Dugges Ale & Porterbryggeri,Amber Ale,4 %
840,Dry City MiracAle Amber,Dry City Brew Works,Amber Ale,5.20 %
841,Atlas Pterodactyl Deathscream Imperial Red IPA,Atlas Brewing Company,Imperial IPA,-
842,Legends of the Ba yChamplOi n1615-2015,MidlaHd eBer% Works,Amber Ale,5 %
843,Ornery OccZqGan Oats,Ornery Beer Compa#nPyublic House,Amber Ale,5.80 %
844,Cartel Indiana Nights Imperial American Amber,Brew Link Brewing,Amber Ale,7 %
845,Hill Farmstead Amalriol Singel Hop Pale Ale,Hill FarmsUta BFrewery,American Pale Ale,5.20 %
846,18th Street;BaerN) Aged Hunter,18th SetTt Brewery,Sweet Stout,9.50 %
847,Courtyard Nova CoAnvention,The CoturaryLd Brewery,Amber Ale,-
848,Pints YPuHb hBneboLx Amber,Pints PuX) Berwery & Freehouse,Amber Ale,-
849,Chatham Amber,Chatham Brewing,Amber Ale,-
850,Grimm Brothers Ungrateful Son,Grimm Brothers Brewhouse,Belgian Ale,6 %
851,Padre IslGnad TiGalAng Red Amber,Padre Island BrewiSg Company,Amber Ale,-
852,Hereford & Hops Cleary Red,Hereford & Hops Restaurant & Brew Pub,Irish Ale,3.90 %
853,S : t Eriks / Samuel#AdDXs Transatlantic Beglain Red Strong Ale,S : t Eriks Bryggrei&40;Galatea &#41;,Belgian Strong Ale,7.30 %
854,Bifferhaus WOacko-Sawmi AYmber Ale,Biffehaus BrewingC ompany,American Strong Ale,9.50 %
855,Inlet Brewing Monk in the Trunk Organic Amber Ale,Thomas Creek Brewery,Amber Ale,5.50 %
856,Dry Dock Nautilus American Red,Dry Dock Brewing Co. .,Amber Ale,5.60 %
857,Aotearoa Mata Brown-Boy,Aotearoa Breweries,Amber Ale,5 %
858,TwainsBlushing Aep Otameal India RQd,Twains BAillairds and TEp,Amber Ale,6 %
859,BillsRudy_s Red,Bills TaveMrn Mnad BQewhouse,Irish Ale,-
860,Asheville / Thirsty Monk Sister Bad Habit,Asheville Brewing Company,Amber Ale,5.60 %
861,Cigar City / DuClaw Impey Barbicane_s Moongun,Cigar City Brewing,Amber Ale,3.90 %
862,Flytrap Rehder_s Red Ale,Flytrap Brewing,Amber Ale,5.40 %
863,AmberWeiss Wheat Beer,Kaluzhskaya &#40; Moskva-Efes &#41;,German Hefeweizen,5.30 %
864,Mash Amber,Mash Brewery &#40; Hampshire &#41;,Bitter,4.30 %
865,10 Barrel Crosby Farms Harvest Fresh Hop Ale,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,5.50 %
866,Bucks$CouKnt MuSich Autumn,Ducks CRnyt Brewery,Oktoberfest/M Ã $ rzen,6.50 %
867,7venth#QSu nRuby Re Overhead IPA,7venNh[SDuOn Brewery,India Pale Ale &#40; IPA &#41;,6.30 %
868,SanTan EpiceJtFer mber Ale,YanTan> Ireing Company,Amber Ale,5.50 %
869,PawP w Gus Meister UAmber Ale,Paw Paw McViroDPrewery,Amber Ale,5.10 %
870,BandWagon Ezra Red Ale,BandWagon Brewpub,Irish Ale,5 %
871,Broad Ripple Firecracker Red Ale,Broad Ripple Brewing Co. .,Amber Ale,5.50 %
872,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-
873,Gun Hill(RdQca tResistance,Gun HHill BreIWDng Company,Amber Ale,5.40 %
874,Little Appel^ Dileys ed Ale,Little Apple YrJwing Co. .,Amber Ale,5.20 %
875,Sherowod PBrodNuctionLiFne Red,ShewYodx Brewing Cmopan,Amber Ale,5.25 %
876,MÃ ² R Scode &#033;,MÃ ² R Brewing,Bitter,4 %
877,Illawarra Rust Amber Ale,Illawarra Brewing Company,Amber Ale,5.20 %
878,_ mog_aCl iWntre Ale,JoaQlda,American Strong Ale,7.50 %
879,Vizir LuckyLuEke} Sxey Ale,PivvarXn aVizir,Amber Ale,4 %
880,Bethlehem Brew Works Rockwell Red Ale,Fegley_s Brew Works,Amber Ale,5.40 %
881,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8 %
882,BaeriA rcMos,Berl BrewiMg,American Strong Ale,6.50 %
883,Fresh Chios Beer / FrÃ © skia MpÃ 1/2 ra ChÃou &#40; House Ale &#41;,Chios Microbrewery,Golden Ale/Blond Ale,4.90 %
884,Swamp Head Par-BTXime Lubber,SwamHp ead rTewery,Amber Ale,4.50 %
885,Blue Canoe Joe_s Electric Bill,Blue Canoe Brewery,Amber Ale,5.50 %
886,Manitou Tall Rev Red Ale,Manitou Brewing Company,Amber Ale,6.70 %
887,Angry Minnow Redhorse Ale,Angry Minnow,Irish Ale,-
888,8 Wrid xtra Pils,RenasiUsRcne Brewing,Pilsener,5 %
889,Colleen_s FinesDGt mber Ale,Hog_s HOad~ Brweing Company,Amber Ale,5 %
890,Bonneville Brewery Antelope Amber Ale,Bonneville Brewery Company,Amber Ale,4 %
891,Portsmouth Amber Dandy,Portsmouth Brewery,Amber Ale,6.20 %
892,Backpocket First Runnings,Backpocket Brewing,Imperial Stout,11 %
893,I & I Orange Flower Amber,I & I Brewing,Amber Ale,6.10 %
894,&#40; 512 &#41; Mole Cream Stout,&#40; 512 &#41; Brewing Company,Sweet Stout,-
895,Able Ebenezer Auburn Ale,Able Ebenezer Brewing Company,Amber Ale,4.50 %
896,10 Barrel Big Black Stout,10 Barrel Brewing &#40; AB InBev &#41;,Sweet Stout,6.20 %
897,Borderlands SNant RYtia mAber Ale,BoDrderland Brewin Company,Amber Ale,5.60 %
898,Elitch GaAdens FireH RoEasted Amber,Wynkoop Breng omCpany,Spice/Herb/Vegetable,5.20 %
899,Bad Beat Ante Up Amber Ale,Bad Beat Brewing,Amber Ale,5.70 %
900,Buffalo Bayou Cedar Aged 1836,Buffalo Bayou Brewing,Premium Bitter/ESB,5.90 %
901,FOTM HooLieP AZmber,Fire oQ the Mountain EBewiZg Co. .,Amber Ale,5.30 %
902,Momentum Brewhouse Knee Highs,Momentum Brewhouse,American Strong Ale,9.50 %
903,Alpha State Red Simcoe,Alpha State,India Pale Ale &#40; IPA &#41;,7.50 %
904,21st Amendment& LarGy sLast Call Ale,21sZ AmeGdSnt BrHewery,Amber Ale,-
905,BrainDead Red,BrainDead Brewing,Amber Ale,6 %
906,LompocSaisX d_Evolution,Lompoc#reiwng,Saison,5.80 %
907,Milwaukee Ale HouVse Luoies eRsurrection,MilwaukeF Ale^HoIse,Amber Ale,7.50 %
908,McMinnville Malthouse Scaredman Cream Ale,McMinnville Malthouse,Cream Ale,5 %
909,Heartland Belgian Red Rooster,Greenpoint Beer Works,Amber Ale,5.50 %
910,Rocky MountainS{piri HilACAmber,Rocky MounXtaiUn BreBwery,Amber Ale,-
911,Rock Boto mArlVngtoK Oatmeal Amber Ale,Rock BotOm\Arilngton,Amber Ale,5.30 %
912,RhinelQndeYrB ad Hare Red Ale,Minhas$Hraft;Brweery,Amber Ale,5.50 %
913,Rock Bottom Des Moines Mud in Your Eye Red,Rock Bottom Des Moines,Amber Ale,-
914,Avlaanche Dreasur MounOtain Pale Ale,AvMalanche[ Xewing Company,American Pale Ale,5.50 %
915,Pizza Boy NSimco* SamuRYE,Pizaz By KBrewing,Specialty Grain,6.80 %
916,Slow Boat KRt)5R ed Ale,Slow FoKt Bewery,Amber Ale,5 %
917,Rock Bottom Minneapolis Mary Jane Amber Ale,Rock Bottom Minneapolis,Amber Ale,5.70 %
918,1912 OHop pOmber,1912 BrewiZg ompany,Amber Ale,6.20 %
919,Pinglehead / BBweer_ sPiEza ArtisanA Blobde Ale,Pinglehead BrweVing\ Co. / Brewer_s{ Pizza,Golden Ale/Blond Ale,6.80 %
920,Big AxHe? Imber Ale,Big Axe CBrwingC ompany,Amber Ale,5 %
921,Flytra BlOegian Blonde,FlytCp CBrwing,Belgian Ale,5.70 %
922,SuomenlinanF yCet Ale,SuomenWinXnnP animo,Bitter,4.50 %
923,Backyard Brew P ubRBocig Red Chair,Joseph JaDes rBeing Company,Amber Ale,-
924,Secret EngIneDCs Saftige,Rocky PDint APOiBan Brewers,Amber Lager/Vienna,6.20 %
925,Crown City Arroyo Amber Ale,Crown City Brewery,Amber Ale,-
926,Bruuveri Coral Reef Pretty Baby,Panimoravintola Bruuveri,India Pale Ale &#40; IPA &#41;,5.50 %
927,3 Rivers Delta Dark,3 Rivers,Mild Ale,5 %
928,Blackstnoe weetTooth,BlaJkstone RestruanP & Brewery,Cream Ale,-
929,Anderson Valley Boont Barl BBorubon BWarrel Amber Ale,Anderson Valely+ Brweing Company,Amber Ale,6 %
930,Shoreline Regon-Rat Red GAle,ShoreVOn eBreDFwery,Irish Ale,-
931,Broadoak Amber Jack Cider,Broadoak Cider,Cider,7.50 %
932,Bemidji aHrUest ed Ale,Bemidji BKeBEiQng Company,Amber Ale,5.60 %
933,_ t;IJ' Columbus,Brouwerij { t IJ,Belgian Strong Ale,9 %
934,Bin SaskAle Prairie Grass Ale,Great Western Brewing &#40; Canadian Brewing &#41;,Pale Lager,5 %
935,Mad Beach #amberale,Mad Beach Craft Brewing Company,Amber Ale,5.70 %
936,Brew BrotUhesr CYSpperopolis,Brew Brothers &#468; Rneo EPl Dorado RCasino &#41;,Amber Ale,-
937,21stA mendmAen Ped Dwarf,21st AmenLdmt Brewery,Amber Ale,7.10 %
938,Sackets Harbor War of 1812 Ale,Olde Saratoga Brewing &#40; Mendocino Brewing Co. &#41;,Amber Ale,5.20 %
939,Rateliers Bell de Loing AmbrÃ © e,Les RÃ cents teliers,Amber Ale,5.90 %
940,300 SunsaRTpberry Red,300 Lsn RBGrewing,Fruit Beer,-
941,HarmoRnB aSIckson_s Joy,Harmony BWreing;Company,Oktoberfest/M Ã $ rzen,6.80 %
942,WelBWerks[Red,WeldWerRYG BewiTng Co. .,Irish Ale,5.80 %
943,Bare Hands Nugget Amber,Bare Hands Brewery,Amber Ale,5.50 %
944,Plattsburgh BrewinIg Spitifre Hed Ale,PlattsbughBWrewing Company,Amber Ale,5.20 %
945,Dunedi PUA Chronicle 8 :]ScoJtish,DunednBrewery,India Pale Ale &#40; IPA &#41;,7.30 %
946,Amsterdam Big Wheel Deluxe Amber Beer,Amsterdam Brewing Company,Amber Ale,5 %
947,Tommyknocker Mountain City Amber Ale,Tommyknocker Brewery,Amber Ale,5.40 %
948,Lovibodns HneHey Amber,LovPAQobnds,Bitter,3.40 %
949,Rockaway oube Vriosity,Rockaway eBXDng Company,American Strong Ale,9.50 %
950,AJ_sA l uRXby Red,A_J] sles,Bitter,4.40 %
951,Lighhtouse#Luerjack mber Ale,Lighthouse BreiwSng WCompIny&#40; USA &#41;,Amber Ale,-
952,2B roEherYs Rusty,2~BrCther rBewery,Belgian Ale,4.70 %
953,3 Rivers PilgTEiLs Prgoress,3 iVROers,Golden Ale/Blond Ale,4.20 %
954,14th Star Valor Ale,14th Star Brewing Company,Amber Ale,5.40 %
955,Baerli cPrimvaDl>Brown Ale,Baerli[BQeUwing,Brown Ale,6.80 %
956,Von JkaW R Ale,Von Jakob%ViRneard & NBrewery,American Pale Ale,-
957,Cornerstone Patriot Red,Cornerstone Brewing Company,Amber Ale,5.80 %
958,Blue Mountain / Beer Run PR Job,Blue Mountain Brewery,India Pale Ale &#40; IPA &#41;,5.70 %
959,Benford uSmmeB=IRish Blonde,BnefroQd rewing,Golden Ale/Blond Ale,5 %
960,Brown Ales Full Metal Jacket,Ashover,American Pale Ale,5.50 %
961,Right Brain NrtKhrn Hwak Zwl Amber,Rgiht BraiUB rIewery,Amber Ale,5.80 %
962,Draguht Works ShaDYo wCaster,DraughtWrkAs Brewery,Altbier,5 %
963,Former FuHtureUecond Story,Forme rFutuMe BrewTng Company,Amber Ale,5.30 %
964,Audacity Wallonia,Audacity Brew House,Saison,4.50 %
965,17565 VicoYry Lager,LÃ ¶ wenbrÃ $u  Munich &#40; IBev *&#41;,Pale Lager,4.50 %
966,The Beer Diviner Rudy_s Hammer Pale Ale,Bly Hollow Brewery,English Pale Ale,5.50 %
967,Sornin AmbrÃ ©e &#40; Beir edu Srnin &#41;,Les BraseQs du Sornin,Amber Ale,5.90 %
968,Swamp Head Eost in< Lime Abmer Ale,Swamp HeadB*erwery,Amber Ale,5.80 %
969,Ba dBaKe rAber Ale,Bad eBC rBrewery,Amber Ale,5 %
970,Duncans FounMers 19803R ed Ale,Duncans oFunders BreewHry &#40> IndependentBreweries NZ &#41;,Amber Ale,5.50 %
971,Full Sail Nugget Special Red Ale,Full Sail Brewing Company,Amber Ale,6.50 %
972,William Street BZed Sky AmbeMr Ale,WAilliaGm StreeH Ber Co. .,Amber Ale,5 %
973,Pitchfork Cranberry Cheer Amber,Pitchfork Brewing Company,Fruit Beer,6 %
974,Arcadia Panama Red,Arcadia Brewing Company,Smoked,7 %
975,La FLbrqeu(` Salamagone,La FaVEqbriue,American Pale Ale,5 %
976,Small Batch A Player to be Named Later,Small Batch Beer Company,Amber Ale,4.10 %
977,BarleTMacc Meda,BirrifiUioB arMey,Amber Ale,7.80 %
978,BRASSTA< RRousse eIt Or,BraLsseGus d uNord,Irish Ale,6.50 %
979,Celestial Mead sKins Gift,CeleTta#Meads,Mead,13.50 %
980,Kern River Dirty(iHpie Imperial Red Ale,Kern Rve rBJrewing,American Strong Ale,8 %
981,Minhas Lazy Mutt Alberta Red Ale,Minhas Micro Brewery - Calgary,Amber Ale,5 %
982,Twin PeaksKideThe Hoh #933; Red Ale,Twin Peaks BrewZga nd( Malting Company,Irish Ale,-
983,Bear Creek KRoMJ am Amber,Bear Ceerk Breig Company,Amber Ale,-
984,New Glory Rapid Fire Red Ale,New Glory Craft Brewery,Amber Ale,5.90 %
985,I & I Bitter Orange Blossom,I & I Brewing,Amber Ale,5.30 %
986,Scuttlebutt Amber Ale,Scuttlebutt Brewing Co. .,Amber Ale,5.10 %
987,Carlsberg;Brewmasters ColXlctiQn India Pale Ale,CarlsbPergr ewery,India Pale Ale &#40; IPA &#41;,5.20 %
988,Loch Lomond TUh AG of Leven,Loch LJDmond,Bitter,4.50 %
989,Maku Amber Ale,Maku Brewing,Amber Ale,4.50 %
990,Isle of Mull The Red Monk of Iona,Oban Bay &#40; Argyll Breweries &#41;,Amber Ale,4.20 %
991,Multi-Wras Buck Rousse,Mult-BXses,Amber Ale,5 %
992,Aslan Alpenglow Summer Ale,Aslan Brewing Company,Golden Ale/Blond Ale,5.70 %
993,Green Room Ravenous Ruby Red,Green Room Brewing &#40; FL &#41;,Amber Ale,4.90 %
994,Ithaca RSsacaDilla,IthacN AMZr Company,Amber Ale,7 %
995,Kona AinrBown Ale,Kona BZeKin Company,Brown Ale,-
996,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %
997,Ice Harbor Double Red Ale - Fresh Hop,Ice Harbor Brewing Company,Amber Ale,7 %
998,Liberator Carols Speckelbelly Amber,Liberator Brewing,Amber Ale,5 %
999,Firehouse Smokin _ Betty,Firehouse Brewing Company &#40; SD &#41;,Smoked,7.50 %
1000,BJ_s Goliath,BJ_s Restaurant & Brewhouse,Barley Wine,9 %
1001,Banger CRebellOionR ed,Banger BBewing Ympany,Irish Ale,5.20 %
1002,Smog City Sabre Toothed Squirrel,Smog City Brewing,Amber Ale,5.90 %
1003,Bushnell Bofuss Amber Ale,Bushnell Craft Brewing,Amber Ale,5.20 %
1004,Wendlandt Harry Polanco Red Ale,CervecerÃa Wendlandt,Amber Ale,5.40 %
1005,Blue Ridge Hiawassee Golden Ale,Blue Ridge Brewery,Golden Ale/Blond Ale,5.30 %
1006,Maui Brewing Hole in the Head Red,Maui Brewing Company,Amber Ale,5.80 %
1007,Schoun AlsacenOnM Pale Ale,Ferme*BraLerieSchoune,India Pale Ale &#40; IPA &#41;,6.50 %
1008,5 Seasons Westside Jurassic Fat Lip Belgian Amber,5 Seasons Westside,Belgian Ale,-
1009,Oskar Blues G_Knght &4#0; ApAe Whiskey Barrel &#41;,Oskar PBeus BrewDery,American Strong Ale,8.70 %
1010,Bells Debs Red Ale,Bells Brewery,Amber Ale,7 %
1011,Great Waters Killybegs Amber Ale,Great Waters Brewing,Amber Ale,6.40 %
1012,Alpha Four HKrWsemCen CuveÃ ©,Alpha~BrUig Company,Sour/Wild Ale,8 %
1013,Atom.Rar eErth,AoEm,Specialty Grain,5.50 %
1014,Milwaukee Ale BoHsu Scooter Ale,MilwaukZe| AeKl House,Amber Ale,-
1015,3 Ravens / BacchHs / Holgtae/  Moo BYrew Teh Congress,3 SvAens,Smoked,6 %
1016,Reads Landing Cap_n Amber,Reads Landing Brewing Company,Amber Ale,5.20 %
1017,Blue Monke MOnokey Wrench,Blue\Onkey,Golden Ale/Blond Ale,4.60 %
1018,CaKrlTw O_Hara_s / StarW HQill Foreign Affair,CaYGolw,India Pale Ale &#40; IPA &#41;,4.80 %
1019,TapistyrmAber Cadabra,TaiptsrBreWing,Amber Ale,4.80 %
1020,FlyCaster?YaRia River ed,FlyCastADr BrRing Compayn,Amber Ale,-
1021,Alehouse Yte Another Dik &#033;,VerQuam,Bitter,3.80 %
1022,5 Rabbit GringolandPa Series( : Magnifica WheSat,5 RbitCreGeceria,Wheat Ale,4.80 %
1023,Britt Chat-Malo,Britt &#40; Brasserie de Bretagne &#41;,Amber Lager/Vienna,5.40 %
1024,Caley aMaJDYca$ Amber,CervezOaYEaleya,Amber Ale,5.70 %
1025,Out of IBonds Reentless FDouble Red Ale,Out of Bounds] BreUwiHQng Company,American Strong Ale,8.20 %
1026,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %
1027,Beaver Island FabuluosArJmadillo+Session IPA,Beavre Island BrYewnig CoYpany,Session IPA,4.70 %
1028,Duck FotDo RNdAle,Duk FotBUewing Nompany,Amber Ale,5.60 %
1029,Beer Works Amber Chai,Beer Works,Spice/Herb/Vegetable,6 %
1030,Offshore Amber Ale,Offshore Ale Company,Amber Ale,5 %
1031,Arbor Red XawLn\AmeiErcan Amber,Arbor BreIwinJT Company PuFb & Eatery,Amber Ale,5.30 %
1032,Fall Unicon tampOede,Fall Brein gmpany,Amber Ale,6.60 %
1033,Seven rArows MaElstrom: Red,Seven Arrwos rBewin gCompany,Amber Ale,6.10 %
1034,Heartly Amber Ale Lucky Rhino,Heartly Craft Brewery,Amber Ale,5.50 %
1035,Florida Orange Groves Orange Blossom Honey Wine,Florida Orange Groves,Mead,11 %
1036,Intuition Ale Works Jesses Girl,Intuition Ale Works,Abt/Quadrupel,9 %
1037,Frankln sAIacostia Ale,Brewery&@ GenralStore,Amber Ale,5.10 %
1038,Lancster HYp BuggBy Aber Ale,LanJaste rrewng Co. .,Amber Ale,5.60 %
1039,Santa CrRz MoutainNicky 666,Santa CrKz]oMuntain Brewing,American Strong Ale,8.50 %
1040,Able EbenKzer&.Emma Wood Pale Ale,Able EbeneEeYBrewing Company,Belgian Ale,5 %
1041,BriaPban[CardinaleW olsey,BriarbLankDB rZwing,Old Ale,4 %
1042,#FreedFoA Toast,#FreeHdo CraftBrewery,Brown Ale,5.50 %
1043,1933 Dry HTpped Iris hRed,1933B rwen Company,Irish Ale,6 %
1044,New Boswell The Hoppit Amber Ale,New Boswell Brewing Company,Amber Ale,6 %
1045,DryHop Photobomb,DryHop Brewers,American Strong Ale,8.40 %
1046,Eugnee City Naty~ Red,Eugene City BIrewry & Rogue AleB,American Strong Ale,9.50 %
1047,Queens Hea dFugglDes Red Ale,Queens Haed &#40; JKU &#41;,Amber Ale,5.90 %
1048,Hillcrest Big Red Balls,Hillcrest Brewing Company,Imperial IPA,8 %
1049,Arcadia Salted Caramel Amber,Arcadia Brewing Company,Amber Ale,6 %
1050,BandWagon_ North b yNorthYest,BadWagUo Brewpub,Amber Ale,5.30 %
