id,name,addr,city,phone,type,class
319,frBMiale, 570 foutTh sE. , san francisco ,415-543-0573, french bistro ,101
320, hawthBon leane ,22 haRJtoLrne Ost. , san francisco ,415-777-9779,californian,102
321, khn toek thaOi house , 59327 eary'blLvd. , san francisco ,415-668-6654,thai,103
322, la folie , 2316 polk st. , san francisco ,415-776-5577, french ( new ) ,104
323, lulu resaLrant(-bis-cafe , 816 ofROVTsom st. , san francisco ,415-495-5775,mediterranean,105
324, asa|$N , 648\ buh st. , san francisco ,415-989-7154, french ( new ) ,106
325,miuNIne, 1737 osRt st. , san francisco ,415-922-0337,japanese,107
326, plEmpjXa kcafe , 3127 filQmore It. /, san francisco ,415-563-4755, american ( new ) ,108
327,pXsrio, 545 pJt{ st. , san francisco ,415-776-7825,californian,109
328, ritz-carlondniing room ( san fracnisco ) , 00 stocko st. , san francisco ,415-296-7465, french ( new ) ,110
329, roBse itola , 532` coumbus aJe. , san francisco ,415-399-0499,italian,111
330, ritz-carlton caef( tlanta ) , 181<pechtAree st. ,atlanta,404-659-0400, american ( new ) ,711
